episode,winner,DQN,Random
1,Random,-1,1
2,Random,-1,1
3,DQN,1,-1
4,DQN,1,-1
5,Random,-1,1
6,Random,-1,1
7,DQN,1,-1
8,Random,-1,1
9,DQN,1,-1
10,DQN,1,-1
11,DQN,1,-1
12,DQN,1,-1
13,DQN,1,-1
14,DQN,1,-1
15,DQN,1,-1
16,DQN,1,-1
17,DQN,1,-1
18,Random,-1,1
19,Random,-1,1
20,DQN,1,-1
21,DQN,1,-1
22,DQN,1,-1
23,Random,-1,1
24,DQN,1,-1
25,DQN,1,-1
26,DQN,1,-1
27,Random,-1,1
28,Random,-1,1
29,DQN,1,-1
30,Random,-1,1
31,DQN,1,-1
32,DQN,1,-1
33,DQN,1,-1
34,DQN,1,-1
35,DQN,1,-1
36,Random,-1,1
37,DQN,1,-1
38,Random,-1,1
39,DQN,1,-1
40,DQN,1,-1
41,DQN,1,-1
42,DQN,1,-1
43,Random,-1,1
44,DQN,1,-1
45,Random,-1,1
46,Random,-1,1
47,DQN,1,-1
48,DQN,1,-1
49,Random,-1,1
50,DQN,1,-1
51,DQN,1,-1
52,DQN,1,-1
53,DQN,1,-1
54,Random,-1,1
55,Random,-1,1
56,Random,-1,1
57,DQN,1,-1
58,Random,-1,1
59,DQN,1,-1
60,DQN,1,-1
61,Random,-1,1
62,DQN,1,-1
63,DQN,1,-1
64,Random,-1,1
65,DQN,1,-1
66,Random,-1,1
67,DQN,1,-1
68,DQN,1,-1
69,DQN,1,-1
70,Random,-1,1
71,DQN,1,-1
72,DQN,1,-1
73,DQN,1,-1
74,Random,-1,1
75,Random,-1,1
76,DQN,1,-1
77,DQN,1,-1
78,DQN,1,-1
79,DQN,1,-1
80,Random,-1,1
81,DQN,1,-1
82,DQN,1,-1
83,Random,-1,1
84,DQN,1,-1
85,Random,-1,1
86,DQN,1,-1
87,DQN,1,-1
88,DQN,1,-1
89,DQN,1,-1
90,Random,-1,1
91,DQN,1,-1
92,Random,-1,1
93,Random,-1,1
94,DQN,1,-1
95,DQN,1,-1
96,DQN,1,-1
97,DQN,1,-1
98,DQN,1,-1
99,Random,-1,1
100,DQN,1,-1
101,DQN,1,-1
102,DQN,1,-1
103,DQN,1,-1
104,DQN,1,-1
105,Random,-1,1
106,DQN,1,-1
107,DQN,1,-1
108,DQN,1,-1
109,DQN,1,-1
110,DQN,1,-1
111,Random,-1,1
112,DQN,1,-1
113,draw,0,0
114,DQN,1,-1
115,DQN,1,-1
116,Random,-1,1
117,Random,-1,1
118,DQN,1,-1
119,DQN,1,-1
120,DQN,1,-1
121,DQN,1,-1
122,DQN,1,-1
123,DQN,1,-1
124,DQN,1,-1
125,DQN,1,-1
126,DQN,1,-1
127,DQN,1,-1
128,DQN,1,-1
129,DQN,1,-1
130,DQN,1,-1
131,DQN,1,-1
132,DQN,1,-1
133,Random,-1,1
134,DQN,1,-1
135,DQN,1,-1
136,DQN,1,-1
137,Random,-1,1
138,DQN,1,-1
139,Random,-1,1
140,DQN,1,-1
141,Random,-1,1
142,Random,-1,1
143,draw,0,0
144,Random,-1,1
145,DQN,1,-1
146,DQN,1,-1
147,Random,-1,1
148,Random,-1,1
149,DQN,1,-1
150,DQN,1,-1
151,DQN,1,-1
152,DQN,1,-1
153,DQN,1,-1
154,DQN,1,-1
155,DQN,1,-1
156,Random,-1,1
157,DQN,1,-1
158,DQN,1,-1
159,DQN,1,-1
160,DQN,1,-1
161,Random,-1,1
162,Random,-1,1
163,Random,-1,1
164,DQN,1,-1
165,Random,-1,1
166,DQN,1,-1
167,DQN,1,-1
168,DQN,1,-1
169,DQN,1,-1
170,Random,-1,1
171,Random,-1,1
172,Random,-1,1
173,DQN,1,-1
174,DQN,1,-1
175,DQN,1,-1
176,DQN,1,-1
177,Random,-1,1
178,Random,-1,1
179,DQN,1,-1
180,Random,-1,1
181,DQN,1,-1
182,Random,-1,1
183,Random,-1,1
184,draw,0,0
185,Random,-1,1
186,DQN,1,-1
187,Random,-1,1
188,DQN,1,-1
189,Random,-1,1
190,Random,-1,1
191,DQN,1,-1
192,DQN,1,-1
193,Random,-1,1
194,DQN,1,-1
195,draw,0,0
196,DQN,1,-1
197,DQN,1,-1
198,DQN,1,-1
199,Random,-1,1
200,Random,-1,1
201,DQN,1,-1
202,DQN,1,-1
203,DQN,1,-1
204,DQN,1,-1
205,DQN,1,-1
206,Random,-1,1
207,DQN,1,-1
208,Random,-1,1
209,Random,-1,1
210,draw,0,0
211,draw,0,0
212,DQN,1,-1
213,Random,-1,1
214,DQN,1,-1
215,DQN,1,-1
216,draw,0,0
217,DQN,1,-1
218,DQN,1,-1
219,Random,-1,1
220,draw,0,0
221,Random,-1,1
222,DQN,1,-1
223,DQN,1,-1
224,Random,-1,1
225,draw,0,0
226,DQN,1,-1
227,DQN,1,-1
228,draw,0,0
229,Random,-1,1
230,Random,-1,1
231,DQN,1,-1
232,Random,-1,1
233,draw,0,0
234,Random,-1,1
235,draw,0,0
236,DQN,1,-1
237,Random,-1,1
238,draw,0,0
239,Random,-1,1
240,draw,0,0
241,Random,-1,1
242,Random,-1,1
243,DQN,1,-1
244,DQN,1,-1
245,DQN,1,-1
246,draw,0,0
247,draw,0,0
248,Random,-1,1
249,Random,-1,1
250,draw,0,0
251,draw,0,0
252,draw,0,0
253,Random,-1,1
254,Random,-1,1
255,Random,-1,1
256,draw,0,0
257,Random,-1,1
258,DQN,1,-1
259,draw,0,0
260,draw,0,0
261,Random,-1,1
262,draw,0,0
263,draw,0,0
264,DQN,1,-1
265,draw,0,0
266,Random,-1,1
267,Random,-1,1
268,Random,-1,1
269,DQN,1,-1
270,draw,0,0
271,draw,0,0
272,Random,-1,1
273,DQN,1,-1
274,Random,-1,1
275,DQN,1,-1
276,Random,-1,1
277,draw,0,0
278,draw,0,0
279,draw,0,0
280,Random,-1,1
281,DQN,1,-1
282,DQN,1,-1
283,Random,-1,1
284,draw,0,0
285,draw,0,0
286,draw,0,0
287,Random,-1,1
288,Random,-1,1
289,Random,-1,1
290,draw,0,0
291,draw,0,0
292,draw,0,0
293,Random,-1,1
294,Random,-1,1
295,Random,-1,1
296,Random,-1,1
297,draw,0,0
298,draw,0,0
299,draw,0,0
300,Random,-1,1
301,Random,-1,1
302,Random,-1,1
303,draw,0,0
304,Random,-1,1
305,draw,0,0
306,draw,0,0
307,draw,0,0
308,draw,0,0
309,Random,-1,1
310,Random,-1,1
311,draw,0,0
312,Random,-1,1
313,Random,-1,1
314,DQN,1,-1
315,draw,0,0
316,draw,0,0
317,Random,-1,1
318,Random,-1,1
319,draw,0,0
320,Random,-1,1
321,draw,0,0
322,Random,-1,1
323,Random,-1,1
324,draw,0,0
325,DQN,1,-1
326,Random,-1,1
327,draw,0,0
328,draw,0,0
329,draw,0,0
330,draw,0,0
331,draw,0,0
332,Random,-1,1
333,Random,-1,1
334,Random,-1,1
335,draw,0,0
336,Random,-1,1
337,Random,-1,1
338,draw,0,0
339,draw,0,0
340,draw,0,0
341,draw,0,0
342,Random,-1,1
343,draw,0,0
344,draw,0,0
345,Random,-1,1
346,DQN,1,-1
347,Random,-1,1
348,DQN,1,-1
349,draw,0,0
350,draw,0,0
351,draw,0,0
352,draw,0,0
353,draw,0,0
354,draw,0,0
355,Random,-1,1
356,DQN,1,-1
357,draw,0,0
358,draw,0,0
359,draw,0,0
360,Random,-1,1
361,draw,0,0
362,Random,-1,1
363,Random,-1,1
364,Random,-1,1
365,Random,-1,1
366,Random,-1,1
367,draw,0,0
368,draw,0,0
369,draw,0,0
370,draw,0,0
371,DQN,1,-1
372,draw,0,0
373,DQN,1,-1
374,DQN,1,-1
375,draw,0,0
376,draw,0,0
377,Random,-1,1
378,Random,-1,1
379,draw,0,0
380,draw,0,0
381,draw,0,0
382,draw,0,0
383,draw,0,0
384,DQN,1,-1
385,DQN,1,-1
386,Random,-1,1
387,draw,0,0
388,DQN,1,-1
389,Random,-1,1
390,draw,0,0
391,Random,-1,1
392,draw,0,0
393,draw,0,0
394,Random,-1,1
395,Random,-1,1
396,Random,-1,1
397,DQN,1,-1
398,draw,0,0
399,draw,0,0
400,Random,-1,1
401,draw,0,0
402,Random,-1,1
403,Random,-1,1
404,draw,0,0
405,Random,-1,1
406,DQN,1,-1
407,DQN,1,-1
408,Random,-1,1
409,draw,0,0
410,Random,-1,1
411,DQN,1,-1
412,draw,0,0
413,DQN,1,-1
414,draw,0,0
415,DQN,1,-1
416,draw,0,0
417,draw,0,0
418,Random,-1,1
419,draw,0,0
420,Random,-1,1
421,draw,0,0
422,DQN,1,-1
423,DQN,1,-1
424,draw,0,0
425,DQN,1,-1
426,draw,0,0
427,Random,-1,1
428,draw,0,0
429,DQN,1,-1
430,draw,0,0
431,draw,0,0
432,draw,0,0
433,Random,-1,1
434,Random,-1,1
435,draw,0,0
436,Random,-1,1
437,draw,0,0
438,draw,0,0
439,draw,0,0
440,Random,-1,1
441,draw,0,0
442,draw,0,0
443,draw,0,0
444,DQN,1,-1
445,draw,0,0
446,draw,0,0
447,draw,0,0
448,Random,-1,1
449,Random,-1,1
450,draw,0,0
451,draw,0,0
452,Random,-1,1
453,draw,0,0
454,draw,0,0
455,draw,0,0
456,Random,-1,1
457,Random,-1,1
458,Random,-1,1
459,Random,-1,1
460,draw,0,0
461,Random,-1,1
462,draw,0,0
463,Random,-1,1
464,DQN,1,-1
465,draw,0,0
466,draw,0,0
467,Random,-1,1
468,DQN,1,-1
469,draw,0,0
470,DQN,1,-1
471,draw,0,0
472,DQN,1,-1
473,Random,-1,1
474,Random,-1,1
475,draw,0,0
476,draw,0,0
477,draw,0,0
478,draw,0,0
479,draw,0,0
480,draw,0,0
481,draw,0,0
482,Random,-1,1
483,Random,-1,1
484,draw,0,0
485,draw,0,0
486,draw,0,0
487,Random,-1,1
488,Random,-1,1
489,draw,0,0
490,DQN,1,-1
491,draw,0,0
492,draw,0,0
493,Random,-1,1
494,Random,-1,1
495,draw,0,0
496,draw,0,0
497,draw,0,0
498,draw,0,0
499,draw,0,0
500,DQN,1,-1
501,Random,-1,1
502,draw,0,0
503,draw,0,0
504,Random,-1,1
505,draw,0,0
506,draw,0,0
507,Random,-1,1
508,Random,-1,1
509,draw,0,0
510,DQN,1,-1
511,DQN,1,-1
512,Random,-1,1
513,draw,0,0
514,draw,0,0
515,draw,0,0
516,draw,0,0
517,draw,0,0
518,Random,-1,1
519,Random,-1,1
520,Random,-1,1
521,Random,-1,1
522,DQN,1,-1
523,draw,0,0
524,Random,-1,1
525,Random,-1,1
526,draw,0,0
527,Random,-1,1
528,draw,0,0
529,Random,-1,1
530,Random,-1,1
531,draw,0,0
532,DQN,1,-1
533,Random,-1,1
534,draw,0,0
535,draw,0,0
536,Random,-1,1
537,Random,-1,1
538,draw,0,0
539,Random,-1,1
540,DQN,1,-1
541,Random,-1,1
542,DQN,1,-1
543,draw,0,0
544,draw,0,0
545,Random,-1,1
546,draw,0,0
547,Random,-1,1
548,draw,0,0
549,draw,0,0
550,draw,0,0
551,DQN,1,-1
552,DQN,1,-1
553,draw,0,0
554,draw,0,0
555,draw,0,0
556,Random,-1,1
557,Random,-1,1
558,Random,-1,1
559,DQN,1,-1
560,draw,0,0
561,draw,0,0
562,draw,0,0
563,Random,-1,1
564,DQN,1,-1
565,Random,-1,1
566,draw,0,0
567,draw,0,0
568,DQN,1,-1
569,Random,-1,1
570,draw,0,0
571,DQN,1,-1
572,Random,-1,1
573,draw,0,0
574,draw,0,0
575,DQN,1,-1
576,draw,0,0
577,draw,0,0
578,draw,0,0
579,draw,0,0
580,Random,-1,1
581,draw,0,0
582,Random,-1,1
583,Random,-1,1
584,DQN,1,-1
585,Random,-1,1
586,DQN,1,-1
587,draw,0,0
588,draw,0,0
589,draw,0,0
590,draw,0,0
591,draw,0,0
592,draw,0,0
593,Random,-1,1
594,draw,0,0
595,draw,0,0
596,draw,0,0
597,Random,-1,1
598,Random,-1,1
599,Random,-1,1
600,draw,0,0
601,Random,-1,1
602,Random,-1,1
603,Random,-1,1
604,draw,0,0
605,draw,0,0
606,DQN,1,-1
607,draw,0,0
608,draw,0,0
609,Random,-1,1
610,draw,0,0
611,Random,-1,1
612,Random,-1,1
613,draw,0,0
614,draw,0,0
615,draw,0,0
616,Random,-1,1
617,Random,-1,1
618,Random,-1,1
619,Random,-1,1
620,draw,0,0
621,draw,0,0
622,draw,0,0
623,DQN,1,-1
624,Random,-1,1
625,Random,-1,1
626,draw,0,0
627,Random,-1,1
628,Random,-1,1
629,draw,0,0
630,DQN,1,-1
631,DQN,1,-1
632,draw,0,0
633,DQN,1,-1
634,draw,0,0
635,draw,0,0
636,draw,0,0
637,DQN,1,-1
638,DQN,1,-1
639,draw,0,0
640,draw,0,0
641,draw,0,0
642,draw,0,0
643,draw,0,0
644,draw,0,0
645,draw,0,0
646,draw,0,0
647,draw,0,0
648,Random,-1,1
649,draw,0,0
650,Random,-1,1
651,draw,0,0
652,Random,-1,1
653,Random,-1,1
654,Random,-1,1
655,draw,0,0
656,DQN,1,-1
657,Random,-1,1
658,draw,0,0
659,Random,-1,1
660,Random,-1,1
661,draw,0,0
662,Random,-1,1
663,draw,0,0
664,draw,0,0
665,DQN,1,-1
666,DQN,1,-1
667,Random,-1,1
668,DQN,1,-1
669,DQN,1,-1
670,draw,0,0
671,Random,-1,1
672,Random,-1,1
673,DQN,1,-1
674,DQN,1,-1
675,Random,-1,1
676,draw,0,0
677,draw,0,0
678,Random,-1,1
679,draw,0,0
680,draw,0,0
681,draw,0,0
682,draw,0,0
683,Random,-1,1
684,draw,0,0
685,Random,-1,1
686,Random,-1,1
687,draw,0,0
688,draw,0,0
689,draw,0,0
690,Random,-1,1
691,Random,-1,1
692,Random,-1,1
693,Random,-1,1
694,draw,0,0
695,Random,-1,1
696,DQN,1,-1
697,draw,0,0
698,Random,-1,1
699,draw,0,0
700,Random,-1,1
701,Random,-1,1
702,DQN,1,-1
703,draw,0,0
704,draw,0,0
705,DQN,1,-1
706,draw,0,0
707,draw,0,0
708,Random,-1,1
709,Random,-1,1
710,draw,0,0
711,Random,-1,1
712,Random,-1,1
713,Random,-1,1
714,DQN,1,-1
715,draw,0,0
716,DQN,1,-1
717,Random,-1,1
718,Random,-1,1
719,draw,0,0
720,DQN,1,-1
721,draw,0,0
722,DQN,1,-1
723,draw,0,0
724,Random,-1,1
725,Random,-1,1
726,DQN,1,-1
727,draw,0,0
728,draw,0,0
729,Random,-1,1
730,Random,-1,1
731,draw,0,0
732,draw,0,0
733,Random,-1,1
734,draw,0,0
735,Random,-1,1
736,Random,-1,1
737,draw,0,0
738,draw,0,0
739,Random,-1,1
740,Random,-1,1
741,Random,-1,1
742,Random,-1,1
743,draw,0,0
744,Random,-1,1
745,Random,-1,1
746,draw,0,0
747,DQN,1,-1
748,Random,-1,1
749,draw,0,0
750,DQN,1,-1
751,draw,0,0
752,Random,-1,1
