episode,winner,MinimaxQ,Random
1,Random,-1,1
2,Random,-1,1
3,Random,-1,1
4,Random,-1,1
5,Random,-1,1
6,Random,-1,1
7,Random,-1,1
8,draw,0,0
9,Random,-1,1
10,Random,-1,1
11,draw,0,0
12,Random,-1,1
13,Random,-1,1
14,Random,-1,1
15,Random,-1,1
16,Random,-1,1
17,Random,-1,1
18,MinimaxQ,1,-1
19,Random,-1,1
20,Random,-1,1
21,Random,-1,1
22,Random,-1,1
23,Random,-1,1
24,draw,0,0
25,Random,-1,1
26,Random,-1,1
27,Random,-1,1
28,Random,-1,1
29,draw,0,0
30,Random,-1,1
31,Random,-1,1
32,Random,-1,1
33,draw,0,0
34,Random,-1,1
35,Random,-1,1
36,Random,-1,1
37,draw,0,0
38,Random,-1,1
39,Random,-1,1
40,Random,-1,1
41,draw,0,0
42,draw,0,0
43,draw,0,0
44,Random,-1,1
45,Random,-1,1
46,Random,-1,1
47,Random,-1,1
48,draw,0,0
49,Random,-1,1
50,draw,0,0
51,Random,-1,1
52,Random,-1,1
53,draw,0,0
54,Random,-1,1
55,Random,-1,1
56,Random,-1,1
57,Random,-1,1
58,draw,0,0
59,MinimaxQ,1,-1
60,Random,-1,1
61,Random,-1,1
62,draw,0,0
63,draw,0,0
64,Random,-1,1
65,draw,0,0
66,Random,-1,1
67,Random,-1,1
68,Random,-1,1
69,Random,-1,1
70,draw,0,0
71,draw,0,0
72,draw,0,0
73,Random,-1,1
74,MinimaxQ,1,-1
75,Random,-1,1
76,Random,-1,1
77,draw,0,0
78,draw,0,0
79,Random,-1,1
80,Random,-1,1
81,draw,0,0
82,Random,-1,1
83,Random,-1,1
84,draw,0,0
85,Random,-1,1
86,draw,0,0
87,Random,-1,1
88,draw,0,0
89,Random,-1,1
90,Random,-1,1
91,Random,-1,1
92,Random,-1,1
93,Random,-1,1
94,draw,0,0
95,draw,0,0
96,draw,0,0
97,draw,0,0
98,Random,-1,1
99,Random,-1,1
100,Random,-1,1
101,draw,0,0
102,Random,-1,1
103,draw,0,0
104,Random,-1,1
105,draw,0,0
106,draw,0,0
107,draw,0,0
108,draw,0,0
109,draw,0,0
110,draw,0,0
111,Random,-1,1
112,MinimaxQ,1,-1
113,MinimaxQ,1,-1
114,draw,0,0
115,Random,-1,1
116,draw,0,0
117,draw,0,0
118,draw,0,0
119,Random,-1,1
120,draw,0,0
121,Random,-1,1
122,draw,0,0
123,draw,0,0
124,Random,-1,1
125,draw,0,0
126,MinimaxQ,1,-1
127,Random,-1,1
128,Random,-1,1
129,draw,0,0
130,draw,0,0
131,Random,-1,1
132,MinimaxQ,1,-1
133,draw,0,0
134,draw,0,0
135,draw,0,0
136,draw,0,0
137,draw,0,0
138,draw,0,0
139,Random,-1,1
140,MinimaxQ,1,-1
141,draw,0,0
142,draw,0,0
143,draw,0,0
144,draw,0,0
145,draw,0,0
146,draw,0,0
147,Random,-1,1
148,draw,0,0
149,Random,-1,1
150,Random,-1,1
151,draw,0,0
152,draw,0,0
153,draw,0,0
154,draw,0,0
155,MinimaxQ,1,-1
156,draw,0,0
157,draw,0,0
158,MinimaxQ,1,-1
159,Random,-1,1
160,draw,0,0
161,draw,0,0
162,MinimaxQ,1,-1
163,Random,-1,1
164,Random,-1,1
165,draw,0,0
166,draw,0,0
167,Random,-1,1
168,Random,-1,1
169,Random,-1,1
170,draw,0,0
171,Random,-1,1
172,Random,-1,1
173,Random,-1,1
174,Random,-1,1
175,draw,0,0
176,draw,0,0
177,Random,-1,1
178,Random,-1,1
179,draw,0,0
180,draw,0,0
181,Random,-1,1
182,draw,0,0
183,draw,0,0
184,Random,-1,1
185,Random,-1,1
186,Random,-1,1
187,Random,-1,1
188,draw,0,0
189,draw,0,0
190,draw,0,0
191,draw,0,0
192,Random,-1,1
193,draw,0,0
194,Random,-1,1
195,Random,-1,1
196,draw,0,0
197,MinimaxQ,1,-1
198,Random,-1,1
199,draw,0,0
200,Random,-1,1
201,draw,0,0
202,Random,-1,1
203,Random,-1,1
204,draw,0,0
205,draw,0,0
206,Random,-1,1
207,draw,0,0
208,draw,0,0
209,draw,0,0
210,Random,-1,1
211,Random,-1,1
212,draw,0,0
213,Random,-1,1
214,Random,-1,1
215,draw,0,0
216,Random,-1,1
217,draw,0,0
218,draw,0,0
219,draw,0,0
220,MinimaxQ,1,-1
221,Random,-1,1
222,Random,-1,1
223,Random,-1,1
224,draw,0,0
225,draw,0,0
226,draw,0,0
227,draw,0,0
228,draw,0,0
229,draw,0,0
230,Random,-1,1
231,Random,-1,1
232,Random,-1,1
233,draw,0,0
234,Random,-1,1
235,Random,-1,1
236,draw,0,0
237,MinimaxQ,1,-1
238,Random,-1,1
239,draw,0,0
240,draw,0,0
241,draw,0,0
242,draw,0,0
243,draw,0,0
244,draw,0,0
245,Random,-1,1
246,draw,0,0
247,Random,-1,1
248,MinimaxQ,1,-1
249,MinimaxQ,1,-1
250,Random,-1,1
251,Random,-1,1
252,Random,-1,1
253,draw,0,0
254,draw,0,0
255,draw,0,0
256,draw,0,0
257,draw,0,0
258,Random,-1,1
259,Random,-1,1
260,Random,-1,1
261,Random,-1,1
262,Random,-1,1
263,draw,0,0
264,Random,-1,1
265,draw,0,0
266,MinimaxQ,1,-1
267,draw,0,0
268,Random,-1,1
269,Random,-1,1
270,draw,0,0
271,Random,-1,1
272,Random,-1,1
273,draw,0,0
274,draw,0,0
275,Random,-1,1
276,Random,-1,1
277,Random,-1,1
278,Random,-1,1
279,draw,0,0
280,draw,0,0
281,draw,0,0
282,draw,0,0
283,Random,-1,1
284,draw,0,0
285,draw,0,0
286,draw,0,0
287,draw,0,0
288,Random,-1,1
289,draw,0,0
290,draw,0,0
291,draw,0,0
292,Random,-1,1
293,Random,-1,1
294,MinimaxQ,1,-1
295,Random,-1,1
296,draw,0,0
297,Random,-1,1
298,draw,0,0
299,draw,0,0
300,Random,-1,1
301,MinimaxQ,1,-1
302,Random,-1,1
303,draw,0,0
304,Random,-1,1
305,draw,0,0
306,draw,0,0
307,draw,0,0
308,Random,-1,1
309,draw,0,0
310,Random,-1,1
311,draw,0,0
312,draw,0,0
313,draw,0,0
314,draw,0,0
315,Random,-1,1
316,draw,0,0
317,draw,0,0
318,Random,-1,1
319,Random,-1,1
320,draw,0,0
321,Random,-1,1
322,draw,0,0
323,draw,0,0
324,draw,0,0
325,Random,-1,1
326,draw,0,0
327,draw,0,0
328,draw,0,0
329,draw,0,0
330,draw,0,0
331,Random,-1,1
332,draw,0,0
333,Random,-1,1
334,Random,-1,1
335,MinimaxQ,1,-1
336,MinimaxQ,1,-1
337,Random,-1,1
338,Random,-1,1
339,draw,0,0
340,draw,0,0
341,Random,-1,1
342,draw,0,0
343,draw,0,0
344,Random,-1,1
345,MinimaxQ,1,-1
346,draw,0,0
347,draw,0,0
348,Random,-1,1
349,draw,0,0
350,Random,-1,1
351,draw,0,0
352,MinimaxQ,1,-1
353,Random,-1,1
354,draw,0,0
355,Random,-1,1
356,draw,0,0
357,Random,-1,1
358,Random,-1,1
359,MinimaxQ,1,-1
360,draw,0,0
361,Random,-1,1
362,draw,0,0
363,draw,0,0
364,draw,0,0
365,MinimaxQ,1,-1
366,MinimaxQ,1,-1
367,Random,-1,1
368,draw,0,0
369,MinimaxQ,1,-1
370,Random,-1,1
371,Random,-1,1
372,draw,0,0
373,draw,0,0
374,MinimaxQ,1,-1
375,draw,0,0
376,Random,-1,1
377,Random,-1,1
378,draw,0,0
379,draw,0,0
380,draw,0,0
381,Random,-1,1
382,draw,0,0
383,draw,0,0
384,draw,0,0
385,draw,0,0
386,Random,-1,1
387,Random,-1,1
388,draw,0,0
389,draw,0,0
390,MinimaxQ,1,-1
391,MinimaxQ,1,-1
392,Random,-1,1
393,draw,0,0
394,draw,0,0
395,draw,0,0
396,Random,-1,1
397,draw,0,0
398,draw,0,0
399,draw,0,0
400,draw,0,0
401,Random,-1,1
402,Random,-1,1
403,draw,0,0
404,draw,0,0
405,Random,-1,1
406,MinimaxQ,1,-1
407,draw,0,0
408,Random,-1,1
409,Random,-1,1
410,draw,0,0
411,draw,0,0
412,draw,0,0
413,draw,0,0
414,draw,0,0
415,Random,-1,1
416,draw,0,0
417,Random,-1,1
418,draw,0,0
419,Random,-1,1
420,Random,-1,1
421,draw,0,0
422,draw,0,0
423,Random,-1,1
424,draw,0,0
425,Random,-1,1
426,draw,0,0
427,draw,0,0
428,draw,0,0
429,Random,-1,1
430,draw,0,0
431,Random,-1,1
432,MinimaxQ,1,-1
433,Random,-1,1
434,draw,0,0
435,draw,0,0
436,draw,0,0
437,Random,-1,1
438,Random,-1,1
439,Random,-1,1
440,MinimaxQ,1,-1
441,draw,0,0
442,draw,0,0
443,Random,-1,1
444,draw,0,0
445,draw,0,0
446,draw,0,0
447,draw,0,0
448,draw,0,0
449,draw,0,0
450,draw,0,0
451,MinimaxQ,1,-1
452,Random,-1,1
453,draw,0,0
454,Random,-1,1
455,draw,0,0
456,draw,0,0
457,draw,0,0
458,draw,0,0
459,draw,0,0
460,draw,0,0
461,Random,-1,1
462,draw,0,0
463,Random,-1,1
464,draw,0,0
465,Random,-1,1
466,Random,-1,1
467,Random,-1,1
468,Random,-1,1
469,draw,0,0
470,draw,0,0
471,Random,-1,1
472,Random,-1,1
473,draw,0,0
474,Random,-1,1
475,Random,-1,1
476,draw,0,0
477,Random,-1,1
478,draw,0,0
479,draw,0,0
480,draw,0,0
481,MinimaxQ,1,-1
482,draw,0,0
483,draw,0,0
484,draw,0,0
485,Random,-1,1
486,draw,0,0
487,draw,0,0
488,Random,-1,1
489,draw,0,0
490,Random,-1,1
491,Random,-1,1
492,draw,0,0
493,draw,0,0
494,Random,-1,1
495,draw,0,0
496,draw,0,0
497,Random,-1,1
498,Random,-1,1
499,Random,-1,1
500,draw,0,0
501,draw,0,0
502,draw,0,0
503,MinimaxQ,1,-1
504,draw,0,0
505,draw,0,0
506,draw,0,0
507,Random,-1,1
508,draw,0,0
509,draw,0,0
510,Random,-1,1
511,MinimaxQ,1,-1
512,draw,0,0
513,draw,0,0
514,draw,0,0
515,draw,0,0
516,draw,0,0
517,Random,-1,1
518,Random,-1,1
519,MinimaxQ,1,-1
520,draw,0,0
521,draw,0,0
522,draw,0,0
523,draw,0,0
524,draw,0,0
525,draw,0,0
526,draw,0,0
527,draw,0,0
528,draw,0,0
529,draw,0,0
530,Random,-1,1
531,Random,-1,1
532,draw,0,0
533,MinimaxQ,1,-1
534,draw,0,0
535,Random,-1,1
536,Random,-1,1
537,draw,0,0
538,Random,-1,1
539,MinimaxQ,1,-1
540,draw,0,0
541,draw,0,0
542,MinimaxQ,1,-1
543,draw,0,0
544,Random,-1,1
545,Random,-1,1
546,draw,0,0
547,draw,0,0
548,draw,0,0
549,draw,0,0
550,draw,0,0
551,draw,0,0
552,Random,-1,1
553,draw,0,0
554,Random,-1,1
555,draw,0,0
556,draw,0,0
557,draw,0,0
558,draw,0,0
559,draw,0,0
560,draw,0,0
561,draw,0,0
562,draw,0,0
563,draw,0,0
564,Random,-1,1
565,draw,0,0
566,Random,-1,1
567,draw,0,0
568,draw,0,0
569,draw,0,0
570,draw,0,0
571,draw,0,0
572,Random,-1,1
573,draw,0,0
574,draw,0,0
575,Random,-1,1
576,Random,-1,1
577,draw,0,0
578,draw,0,0
579,MinimaxQ,1,-1
580,MinimaxQ,1,-1
581,draw,0,0
582,draw,0,0
583,MinimaxQ,1,-1
584,MinimaxQ,1,-1
585,Random,-1,1
586,draw,0,0
587,MinimaxQ,1,-1
588,draw,0,0
589,draw,0,0
590,Random,-1,1
591,MinimaxQ,1,-1
592,draw,0,0
593,Random,-1,1
594,MinimaxQ,1,-1
595,draw,0,0
596,draw,0,0
597,MinimaxQ,1,-1
598,draw,0,0
599,draw,0,0
600,draw,0,0
601,draw,0,0
602,Random,-1,1
603,Random,-1,1
604,Random,-1,1
605,draw,0,0
606,Random,-1,1
607,draw,0,0
608,Random,-1,1
609,draw,0,0
610,draw,0,0
611,draw,0,0
612,MinimaxQ,1,-1
613,draw,0,0
614,draw,0,0
615,draw,0,0
616,Random,-1,1
617,draw,0,0
618,draw,0,0
619,MinimaxQ,1,-1
620,draw,0,0
621,Random,-1,1
622,Random,-1,1
623,draw,0,0
624,draw,0,0
625,draw,0,0
626,Random,-1,1
627,draw,0,0
628,draw,0,0
629,draw,0,0
630,draw,0,0
631,draw,0,0
632,Random,-1,1
633,draw,0,0
634,MinimaxQ,1,-1
635,Random,-1,1
636,Random,-1,1
637,Random,-1,1
638,draw,0,0
639,draw,0,0
640,Random,-1,1
641,draw,0,0
642,Random,-1,1
643,draw,0,0
644,draw,0,0
645,MinimaxQ,1,-1
646,MinimaxQ,1,-1
647,draw,0,0
648,draw,0,0
649,MinimaxQ,1,-1
650,draw,0,0
651,draw,0,0
652,draw,0,0
653,draw,0,0
654,draw,0,0
655,Random,-1,1
656,Random,-1,1
657,Random,-1,1
658,Random,-1,1
659,draw,0,0
660,draw,0,0
661,MinimaxQ,1,-1
662,MinimaxQ,1,-1
663,draw,0,0
664,Random,-1,1
665,draw,0,0
666,draw,0,0
667,Random,-1,1
668,draw,0,0
669,draw,0,0
670,draw,0,0
671,draw,0,0
672,draw,0,0
673,draw,0,0
674,draw,0,0
675,MinimaxQ,1,-1
676,MinimaxQ,1,-1
677,Random,-1,1
678,draw,0,0
679,Random,-1,1
680,draw,0,0
681,draw,0,0
682,draw,0,0
683,draw,0,0
684,draw,0,0
685,Random,-1,1
686,draw,0,0
687,draw,0,0
688,Random,-1,1
689,draw,0,0
690,draw,0,0
691,Random,-1,1
692,draw,0,0
693,MinimaxQ,1,-1
694,draw,0,0
695,Random,-1,1
696,Random,-1,1
697,draw,0,0
698,draw,0,0
699,draw,0,0
700,Random,-1,1
701,draw,0,0
702,Random,-1,1
703,Random,-1,1
704,Random,-1,1
705,draw,0,0
706,draw,0,0
707,MinimaxQ,1,-1
708,Random,-1,1
709,draw,0,0
710,draw,0,0
711,draw,0,0
712,Random,-1,1
713,draw,0,0
714,Random,-1,1
715,MinimaxQ,1,-1
716,Random,-1,1
717,draw,0,0
718,draw,0,0
719,draw,0,0
720,Random,-1,1
721,draw,0,0
722,draw,0,0
723,Random,-1,1
724,Random,-1,1
725,Random,-1,1
726,draw,0,0
727,draw,0,0
728,Random,-1,1
729,draw,0,0
730,Random,-1,1
731,draw,0,0
732,MinimaxQ,1,-1
733,MinimaxQ,1,-1
734,draw,0,0
735,draw,0,0
736,draw,0,0
737,Random,-1,1
738,Random,-1,1
739,Random,-1,1
740,draw,0,0
741,draw,0,0
742,Random,-1,1
743,Random,-1,1
744,Random,-1,1
745,Random,-1,1
746,draw,0,0
747,Random,-1,1
748,Random,-1,1
749,draw,0,0
750,draw,0,0
751,draw,0,0
752,draw,0,0
753,draw,0,0
754,draw,0,0
755,draw,0,0
756,Random,-1,1
