episode,winner,MinimaxQ,MinimaxQ_2
1,draw,0,0
2,draw,0,0
3,draw,0,0
4,MinimaxQ,1,-1
5,draw,0,0
6,draw,0,0
7,draw,0,0
8,draw,0,0
9,draw,0,0
10,draw,0,0
11,draw,0,0
12,MinimaxQ,1,-1
13,draw,0,0
14,draw,0,0
15,MinimaxQ,1,-1
16,draw,0,0
17,MinimaxQ_2,-1,1
18,MinimaxQ_2,-1,1
19,draw,0,0
20,draw,0,0
21,draw,0,0
22,draw,0,0
23,MinimaxQ,1,-1
24,draw,0,0
25,draw,0,0
26,MinimaxQ,1,-1
27,draw,0,0
28,draw,0,0
29,draw,0,0
30,draw,0,0
31,draw,0,0
32,MinimaxQ,1,-1
33,draw,0,0
34,draw,0,0
35,draw,0,0
36,draw,0,0
37,draw,0,0
38,draw,0,0
39,draw,0,0
40,draw,0,0
41,draw,0,0
42,MinimaxQ,1,-1
43,draw,0,0
44,draw,0,0
45,draw,0,0
46,draw,0,0
47,draw,0,0
48,MinimaxQ_2,-1,1
49,draw,0,0
50,draw,0,0
51,MinimaxQ,1,-1
52,draw,0,0
53,draw,0,0
54,draw,0,0
55,draw,0,0
56,draw,0,0
57,draw,0,0
58,MinimaxQ,1,-1
59,draw,0,0
60,draw,0,0
61,MinimaxQ_2,-1,1
62,draw,0,0
63,draw,0,0
64,draw,0,0
65,draw,0,0
66,draw,0,0
67,draw,0,0
68,draw,0,0
69,draw,0,0
70,draw,0,0
71,MinimaxQ,1,-1
72,draw,0,0
73,draw,0,0
74,draw,0,0
75,draw,0,0
76,draw,0,0
77,draw,0,0
78,draw,0,0
79,draw,0,0
80,MinimaxQ_2,-1,1
81,draw,0,0
82,MinimaxQ,1,-1
83,draw,0,0
84,draw,0,0
85,draw,0,0
86,draw,0,0
87,draw,0,0
88,draw,0,0
89,draw,0,0
90,MinimaxQ_2,-1,1
91,draw,0,0
92,draw,0,0
93,draw,0,0
94,draw,0,0
95,draw,0,0
96,MinimaxQ,1,-1
97,draw,0,0
98,draw,0,0
99,MinimaxQ,1,-1
100,draw,0,0
101,draw,0,0
102,draw,0,0
103,MinimaxQ_2,-1,1
104,draw,0,0
105,draw,0,0
106,MinimaxQ,1,-1
107,draw,0,0
108,draw,0,0
109,draw,0,0
110,draw,0,0
111,draw,0,0
112,MinimaxQ,1,-1
113,draw,0,0
114,MinimaxQ,1,-1
115,draw,0,0
116,MinimaxQ_2,-1,1
117,MinimaxQ_2,-1,1
118,draw,0,0
119,draw,0,0
120,draw,0,0
121,draw,0,0
122,MinimaxQ_2,-1,1
123,draw,0,0
124,draw,0,0
125,draw,0,0
126,draw,0,0
127,draw,0,0
128,draw,0,0
129,MinimaxQ_2,-1,1
130,draw,0,0
131,draw,0,0
132,draw,0,0
133,draw,0,0
134,draw,0,0
135,MinimaxQ_2,-1,1
136,draw,0,0
137,draw,0,0
138,MinimaxQ_2,-1,1
139,draw,0,0
140,draw,0,0
141,draw,0,0
142,draw,0,0
143,draw,0,0
144,MinimaxQ_2,-1,1
145,draw,0,0
146,draw,0,0
147,MinimaxQ_2,-1,1
148,draw,0,0
149,draw,0,0
150,MinimaxQ_2,-1,1
151,draw,0,0
152,draw,0,0
153,MinimaxQ_2,-1,1
154,draw,0,0
155,draw,0,0
156,draw,0,0
157,MinimaxQ,1,-1
158,draw,0,0
159,MinimaxQ_2,-1,1
160,draw,0,0
161,draw,0,0
162,draw,0,0
163,draw,0,0
164,draw,0,0
165,draw,0,0
166,draw,0,0
167,draw,0,0
168,draw,0,0
169,draw,0,0
170,draw,0,0
171,MinimaxQ,1,-1
172,draw,0,0
173,draw,0,0
174,draw,0,0
175,draw,0,0
176,draw,0,0
177,MinimaxQ_2,-1,1
178,draw,0,0
179,draw,0,0
180,draw,0,0
181,MinimaxQ,1,-1
182,draw,0,0
183,draw,0,0
184,MinimaxQ,1,-1
185,draw,0,0
186,draw,0,0
187,draw,0,0
188,draw,0,0
189,draw,0,0
190,draw,0,0
191,draw,0,0
192,MinimaxQ_2,-1,1
193,MinimaxQ,1,-1
194,draw,0,0
195,MinimaxQ_2,-1,1
196,MinimaxQ_2,-1,1
197,draw,0,0
198,draw,0,0
199,draw,0,0
200,draw,0,0
201,draw,0,0
202,draw,0,0
203,draw,0,0
204,draw,0,0
205,draw,0,0
206,draw,0,0
207,draw,0,0
208,draw,0,0
209,draw,0,0
210,draw,0,0
211,MinimaxQ,1,-1
212,draw,0,0
213,draw,0,0
214,draw,0,0
215,draw,0,0
216,draw,0,0
217,draw,0,0
218,MinimaxQ,1,-1
219,draw,0,0
220,draw,0,0
221,draw,0,0
222,draw,0,0
223,draw,0,0
224,draw,0,0
225,draw,0,0
226,draw,0,0
227,draw,0,0
228,draw,0,0
229,draw,0,0
230,draw,0,0
231,draw,0,0
232,MinimaxQ,1,-1
233,draw,0,0
234,draw,0,0
235,draw,0,0
236,draw,0,0
237,draw,0,0
238,MinimaxQ_2,-1,1
239,draw,0,0
240,draw,0,0
241,MinimaxQ_2,-1,1
242,MinimaxQ,1,-1
243,draw,0,0
244,draw,0,0
245,draw,0,0
246,draw,0,0
247,draw,0,0
248,draw,0,0
249,draw,0,0
250,draw,0,0
251,draw,0,0
252,draw,0,0
253,MinimaxQ_2,-1,1
254,draw,0,0
255,draw,0,0
256,draw,0,0
257,draw,0,0
258,draw,0,0
259,draw,0,0
260,MinimaxQ,1,-1
261,draw,0,0
262,draw,0,0
263,MinimaxQ_2,-1,1
264,draw,0,0
265,draw,0,0
266,draw,0,0
267,draw,0,0
268,MinimaxQ_2,-1,1
269,draw,0,0
270,draw,0,0
271,draw,0,0
272,draw,0,0
273,draw,0,0
274,draw,0,0
275,draw,0,0
276,draw,0,0
277,draw,0,0
278,MinimaxQ,1,-1
279,MinimaxQ_2,-1,1
280,draw,0,0
281,draw,0,0
282,draw,0,0
283,draw,0,0
284,draw,0,0
285,draw,0,0
286,draw,0,0
287,draw,0,0
288,draw,0,0
289,draw,0,0
290,MinimaxQ_2,-1,1
291,draw,0,0
292,draw,0,0
293,draw,0,0
294,MinimaxQ_2,-1,1
295,draw,0,0
296,draw,0,0
297,draw,0,0
298,draw,0,0
299,draw,0,0
300,draw,0,0
301,draw,0,0
302,MinimaxQ_2,-1,1
303,draw,0,0
304,draw,0,0
305,MinimaxQ,1,-1
306,draw,0,0
