episode,winner,NashQ,Random
1,Random,-1,1
2,NashQ,1,-1
3,Random,-1,1
4,Random,-1,1
5,Random,-1,1
6,draw,0,0
7,Random,-1,1
8,Random,-1,1
9,Random,-1,1
10,draw,0,0
11,draw,0,0
12,Random,-1,1
13,Random,-1,1
14,Random,-1,1
15,NashQ,1,-1
16,Random,-1,1
17,NashQ,1,-1
18,Random,-1,1
19,draw,0,0
20,Random,-1,1
21,Random,-1,1
22,Random,-1,1
23,Random,-1,1
24,Random,-1,1
25,NashQ,1,-1
26,draw,0,0
27,Random,-1,1
28,draw,0,0
29,Random,-1,1
30,draw,0,0
31,draw,0,0
32,draw,0,0
33,Random,-1,1
34,Random,-1,1
35,Random,-1,1
36,draw,0,0
37,draw,0,0
38,Random,-1,1
39,Random,-1,1
40,Random,-1,1
41,draw,0,0
42,Random,-1,1
43,draw,0,0
44,draw,0,0
45,Random,-1,1
46,Random,-1,1
47,NashQ,1,-1
48,Random,-1,1
49,draw,0,0
50,Random,-1,1
51,Random,-1,1
52,Random,-1,1
53,Random,-1,1
54,Random,-1,1
55,Random,-1,1
56,Random,-1,1
57,Random,-1,1
58,draw,0,0
59,Random,-1,1
60,Random,-1,1
61,Random,-1,1
62,draw,0,0
63,draw,0,0
64,draw,0,0
65,draw,0,0
66,Random,-1,1
67,Random,-1,1
68,Random,-1,1
69,Random,-1,1
70,Random,-1,1
71,draw,0,0
72,Random,-1,1
73,Random,-1,1
74,Random,-1,1
75,Random,-1,1
76,Random,-1,1
77,Random,-1,1
78,Random,-1,1
79,Random,-1,1
80,Random,-1,1
81,Random,-1,1
82,Random,-1,1
83,NashQ,1,-1
84,Random,-1,1
85,Random,-1,1
86,draw,0,0
87,draw,0,0
88,draw,0,0
89,Random,-1,1
90,draw,0,0
91,Random,-1,1
92,Random,-1,1
93,Random,-1,1
94,Random,-1,1
95,Random,-1,1
96,draw,0,0
97,Random,-1,1
98,draw,0,0
99,draw,0,0
100,Random,-1,1
101,Random,-1,1
102,draw,0,0
103,draw,0,0
104,draw,0,0
105,Random,-1,1
106,Random,-1,1
107,Random,-1,1
108,draw,0,0
109,Random,-1,1
110,Random,-1,1
111,draw,0,0
112,Random,-1,1
113,Random,-1,1
114,Random,-1,1
115,Random,-1,1
116,Random,-1,1
117,draw,0,0
118,Random,-1,1
119,Random,-1,1
120,Random,-1,1
121,draw,0,0
122,Random,-1,1
123,draw,0,0
124,draw,0,0
125,Random,-1,1
126,draw,0,0
127,Random,-1,1
128,Random,-1,1
129,NashQ,1,-1
130,Random,-1,1
131,Random,-1,1
132,draw,0,0
133,Random,-1,1
134,Random,-1,1
135,draw,0,0
136,draw,0,0
137,Random,-1,1
138,draw,0,0
139,draw,0,0
140,Random,-1,1
141,Random,-1,1
142,draw,0,0
143,Random,-1,1
144,draw,0,0
145,Random,-1,1
146,draw,0,0
147,NashQ,1,-1
148,Random,-1,1
149,Random,-1,1
150,NashQ,1,-1
151,Random,-1,1
152,NashQ,1,-1
153,draw,0,0
154,Random,-1,1
155,Random,-1,1
156,Random,-1,1
157,Random,-1,1
158,draw,0,0
159,Random,-1,1
160,Random,-1,1
161,Random,-1,1
162,NashQ,1,-1
163,Random,-1,1
164,Random,-1,1
165,Random,-1,1
166,draw,0,0
167,Random,-1,1
168,Random,-1,1
169,Random,-1,1
170,Random,-1,1
171,draw,0,0
172,Random,-1,1
173,draw,0,0
174,Random,-1,1
175,Random,-1,1
176,Random,-1,1
177,NashQ,1,-1
178,Random,-1,1
179,draw,0,0
180,Random,-1,1
181,Random,-1,1
182,draw,0,0
183,draw,0,0
184,Random,-1,1
185,Random,-1,1
186,Random,-1,1
187,Random,-1,1
188,Random,-1,1
189,draw,0,0
190,draw,0,0
191,Random,-1,1
192,Random,-1,1
193,draw,0,0
194,draw,0,0
195,draw,0,0
196,Random,-1,1
197,NashQ,1,-1
198,Random,-1,1
199,Random,-1,1
200,Random,-1,1
201,Random,-1,1
202,draw,0,0
203,draw,0,0
204,draw,0,0
205,draw,0,0
206,draw,0,0
207,draw,0,0
208,draw,0,0
209,Random,-1,1
210,Random,-1,1
211,Random,-1,1
212,Random,-1,1
213,draw,0,0
214,draw,0,0
215,Random,-1,1
216,Random,-1,1
217,draw,0,0
218,Random,-1,1
219,Random,-1,1
220,Random,-1,1
221,draw,0,0
222,draw,0,0
223,Random,-1,1
224,draw,0,0
225,Random,-1,1
226,Random,-1,1
227,draw,0,0
228,draw,0,0
229,Random,-1,1
230,draw,0,0
231,Random,-1,1
232,Random,-1,1
233,Random,-1,1
234,draw,0,0
235,draw,0,0
236,Random,-1,1
237,draw,0,0
238,draw,0,0
239,draw,0,0
240,draw,0,0
241,draw,0,0
242,draw,0,0
243,draw,0,0
244,Random,-1,1
245,Random,-1,1
246,Random,-1,1
247,Random,-1,1
248,Random,-1,1
249,Random,-1,1
250,NashQ,1,-1
251,Random,-1,1
252,Random,-1,1
253,Random,-1,1
254,Random,-1,1
255,Random,-1,1
256,Random,-1,1
257,NashQ,1,-1
258,Random,-1,1
259,draw,0,0
260,Random,-1,1
261,Random,-1,1
262,draw,0,0
263,draw,0,0
264,Random,-1,1
265,Random,-1,1
266,Random,-1,1
267,Random,-1,1
268,Random,-1,1
269,Random,-1,1
270,draw,0,0
271,Random,-1,1
272,Random,-1,1
273,draw,0,0
274,Random,-1,1
275,draw,0,0
276,draw,0,0
277,Random,-1,1
278,draw,0,0
279,draw,0,0
280,Random,-1,1
281,draw,0,0
282,Random,-1,1
283,draw,0,0
284,Random,-1,1
285,Random,-1,1
286,Random,-1,1
287,draw,0,0
288,draw,0,0
289,draw,0,0
290,Random,-1,1
291,Random,-1,1
292,Random,-1,1
293,draw,0,0
294,draw,0,0
295,Random,-1,1
296,Random,-1,1
297,draw,0,0
298,Random,-1,1
299,Random,-1,1
300,Random,-1,1
301,Random,-1,1
302,Random,-1,1
303,Random,-1,1
304,Random,-1,1
305,Random,-1,1
306,Random,-1,1
307,Random,-1,1
308,Random,-1,1
309,draw,0,0
310,Random,-1,1
311,Random,-1,1
312,Random,-1,1
313,Random,-1,1
314,Random,-1,1
315,draw,0,0
316,Random,-1,1
317,Random,-1,1
318,Random,-1,1
319,draw,0,0
320,draw,0,0
321,draw,0,0
322,Random,-1,1
323,Random,-1,1
324,Random,-1,1
325,Random,-1,1
326,Random,-1,1
327,Random,-1,1
328,Random,-1,1
329,Random,-1,1
330,Random,-1,1
331,Random,-1,1
332,Random,-1,1
333,draw,0,0
334,Random,-1,1
335,Random,-1,1
336,draw,0,0
337,Random,-1,1
338,Random,-1,1
339,Random,-1,1
340,Random,-1,1
341,Random,-1,1
342,draw,0,0
343,Random,-1,1
344,draw,0,0
345,Random,-1,1
346,draw,0,0
347,NashQ,1,-1
348,Random,-1,1
349,Random,-1,1
350,Random,-1,1
351,Random,-1,1
352,draw,0,0
353,Random,-1,1
354,Random,-1,1
355,draw,0,0
356,Random,-1,1
357,Random,-1,1
358,Random,-1,1
359,Random,-1,1
360,Random,-1,1
361,Random,-1,1
362,draw,0,0
363,draw,0,0
364,Random,-1,1
365,Random,-1,1
366,Random,-1,1
367,Random,-1,1
368,Random,-1,1
369,Random,-1,1
370,draw,0,0
371,Random,-1,1
372,Random,-1,1
373,Random,-1,1
374,Random,-1,1
375,Random,-1,1
376,Random,-1,1
377,Random,-1,1
378,draw,0,0
379,draw,0,0
380,draw,0,0
381,Random,-1,1
382,Random,-1,1
383,draw,0,0
384,Random,-1,1
385,Random,-1,1
386,Random,-1,1
387,draw,0,0
388,Random,-1,1
389,Random,-1,1
390,Random,-1,1
391,draw,0,0
392,Random,-1,1
393,draw,0,0
394,Random,-1,1
395,Random,-1,1
396,Random,-1,1
397,Random,-1,1
398,NashQ,1,-1
399,Random,-1,1
400,draw,0,0
401,Random,-1,1
402,Random,-1,1
403,draw,0,0
404,Random,-1,1
405,draw,0,0
406,Random,-1,1
407,draw,0,0
408,draw,0,0
409,Random,-1,1
410,draw,0,0
411,Random,-1,1
412,draw,0,0
413,Random,-1,1
414,Random,-1,1
415,Random,-1,1
416,Random,-1,1
417,Random,-1,1
418,NashQ,1,-1
419,Random,-1,1
420,Random,-1,1
421,Random,-1,1
422,Random,-1,1
423,Random,-1,1
424,Random,-1,1
425,Random,-1,1
426,draw,0,0
427,Random,-1,1
428,draw,0,0
429,Random,-1,1
430,draw,0,0
431,draw,0,0
432,Random,-1,1
433,Random,-1,1
434,draw,0,0
435,Random,-1,1
436,Random,-1,1
437,draw,0,0
438,Random,-1,1
439,Random,-1,1
440,draw,0,0
441,draw,0,0
442,NashQ,1,-1
443,Random,-1,1
444,Random,-1,1
445,draw,0,0
446,Random,-1,1
447,draw,0,0
448,Random,-1,1
449,draw,0,0
450,Random,-1,1
451,draw,0,0
452,draw,0,0
453,Random,-1,1
454,Random,-1,1
455,draw,0,0
456,draw,0,0
457,draw,0,0
458,draw,0,0
459,Random,-1,1
460,Random,-1,1
461,draw,0,0
462,Random,-1,1
463,draw,0,0
464,Random,-1,1
465,Random,-1,1
466,Random,-1,1
467,draw,0,0
468,NashQ,1,-1
469,Random,-1,1
470,Random,-1,1
471,draw,0,0
472,Random,-1,1
473,draw,0,0
474,draw,0,0
475,Random,-1,1
476,draw,0,0
477,Random,-1,1
478,Random,-1,1
479,Random,-1,1
480,Random,-1,1
481,Random,-1,1
482,draw,0,0
483,Random,-1,1
484,Random,-1,1
485,Random,-1,1
486,Random,-1,1
487,Random,-1,1
488,Random,-1,1
489,Random,-1,1
490,Random,-1,1
491,Random,-1,1
492,draw,0,0
493,Random,-1,1
494,Random,-1,1
495,draw,0,0
496,Random,-1,1
497,Random,-1,1
498,Random,-1,1
499,draw,0,0
500,Random,-1,1
501,Random,-1,1
502,draw,0,0
503,draw,0,0
504,Random,-1,1
505,Random,-1,1
506,draw,0,0
507,Random,-1,1
508,Random,-1,1
509,Random,-1,1
510,Random,-1,1
511,draw,0,0
512,draw,0,0
513,NashQ,1,-1
514,draw,0,0
515,draw,0,0
516,Random,-1,1
517,Random,-1,1
518,Random,-1,1
519,Random,-1,1
520,Random,-1,1
521,draw,0,0
522,Random,-1,1
523,Random,-1,1
524,Random,-1,1
525,draw,0,0
526,Random,-1,1
527,draw,0,0
528,draw,0,0
529,Random,-1,1
530,Random,-1,1
531,draw,0,0
532,Random,-1,1
533,draw,0,0
534,Random,-1,1
535,draw,0,0
536,Random,-1,1
537,Random,-1,1
538,draw,0,0
539,Random,-1,1
540,Random,-1,1
541,draw,0,0
542,Random,-1,1
543,draw,0,0
544,draw,0,0
545,draw,0,0
546,Random,-1,1
547,Random,-1,1
548,Random,-1,1
549,Random,-1,1
550,draw,0,0
551,Random,-1,1
552,Random,-1,1
553,Random,-1,1
554,Random,-1,1
555,Random,-1,1
556,Random,-1,1
557,draw,0,0
558,Random,-1,1
559,Random,-1,1
560,Random,-1,1
561,Random,-1,1
562,Random,-1,1
563,Random,-1,1
564,Random,-1,1
565,Random,-1,1
566,draw,0,0
567,Random,-1,1
568,draw,0,0
569,Random,-1,1
570,draw,0,0
571,Random,-1,1
572,draw,0,0
573,draw,0,0
574,Random,-1,1
575,Random,-1,1
576,Random,-1,1
577,draw,0,0
578,Random,-1,1
579,Random,-1,1
580,Random,-1,1
581,Random,-1,1
582,Random,-1,1
583,Random,-1,1
584,Random,-1,1
585,Random,-1,1
586,Random,-1,1
587,Random,-1,1
588,Random,-1,1
589,Random,-1,1
590,Random,-1,1
591,Random,-1,1
592,Random,-1,1
593,Random,-1,1
594,Random,-1,1
595,Random,-1,1
596,draw,0,0
