episode,winner,PHC,PHC_2
1,PHC,1,-1
2,PHC_2,-1,1
3,PHC_2,-1,1
4,PHC_2,-1,1
5,PHC,1,-1
6,PHC_2,-1,1
7,PHC,1,-1
8,PHC_2,-1,1
9,PHC_2,-1,1
10,PHC,1,-1
11,PHC_2,-1,1
12,PHC,1,-1
13,PHC_2,-1,1
14,PHC,1,-1
15,PHC_2,-1,1
16,PHC_2,-1,1
17,PHC,1,-1
18,PHC,1,-1
19,PHC,1,-1
20,PHC,1,-1
21,PHC,1,-1
22,PHC_2,-1,1
23,PHC,1,-1
24,PHC_2,-1,1
25,draw,0,0
26,PHC_2,-1,1
27,PHC_2,-1,1
28,PHC_2,-1,1
29,PHC,1,-1
30,PHC,1,-1
31,PHC_2,-1,1
32,PHC,1,-1
33,PHC_2,-1,1
34,PHC,1,-1
35,PHC_2,-1,1
36,PHC,1,-1
37,PHC,1,-1
38,PHC,1,-1
39,PHC_2,-1,1
40,PHC,1,-1
41,PHC_2,-1,1
42,PHC,1,-1
43,PHC,1,-1
44,PHC,1,-1
45,PHC_2,-1,1
46,PHC_2,-1,1
47,PHC,1,-1
48,PHC,1,-1
49,PHC_2,-1,1
50,PHC_2,-1,1
51,PHC_2,-1,1
52,PHC_2,-1,1
53,PHC_2,-1,1
54,PHC,1,-1
55,PHC_2,-1,1
56,PHC_2,-1,1
57,PHC,1,-1
58,draw,0,0
59,PHC,1,-1
60,PHC_2,-1,1
61,PHC,1,-1
62,PHC,1,-1
63,PHC_2,-1,1
64,PHC,1,-1
65,PHC,1,-1
66,PHC,1,-1
67,PHC_2,-1,1
68,PHC,1,-1
69,PHC_2,-1,1
70,PHC_2,-1,1
71,PHC_2,-1,1
72,PHC_2,-1,1
73,PHC,1,-1
74,PHC,1,-1
75,PHC,1,-1
76,PHC_2,-1,1
77,PHC,1,-1
78,PHC_2,-1,1
79,PHC,1,-1
80,PHC,1,-1
81,PHC_2,-1,1
82,PHC,1,-1
