episode,winner,PHC,Random
1,PHC,1,-1
2,draw,0,0
3,PHC,1,-1
4,PHC,1,-1
5,Random,-1,1
6,PHC,1,-1
7,PHC,1,-1
8,PHC,1,-1
9,PHC,1,-1
10,Random,-1,1
11,PHC,1,-1
12,PHC,1,-1
13,draw,0,0
14,Random,-1,1
15,Random,-1,1
16,PHC,1,-1
17,Random,-1,1
18,PHC,1,-1
19,draw,0,0
20,Random,-1,1
21,PHC,1,-1
22,PHC,1,-1
23,Random,-1,1
24,Random,-1,1
25,PHC,1,-1
26,Random,-1,1
27,draw,0,0
28,Random,-1,1
29,draw,0,0
30,draw,0,0
31,PHC,1,-1
32,Random,-1,1
33,PHC,1,-1
34,PHC,1,-1
35,PHC,1,-1
36,Random,-1,1
37,Random,-1,1
38,draw,0,0
39,PHC,1,-1
40,PHC,1,-1
41,Random,-1,1
42,Random,-1,1
43,PHC,1,-1
44,Random,-1,1
45,PHC,1,-1
46,Random,-1,1
47,PHC,1,-1
48,PHC,1,-1
49,Random,-1,1
50,Random,-1,1
51,Random,-1,1
52,Random,-1,1
53,PHC,1,-1
54,Random,-1,1
55,Random,-1,1
56,PHC,1,-1
57,draw,0,0
58,PHC,1,-1
59,Random,-1,1
60,PHC,1,-1
61,PHC,1,-1
62,PHC,1,-1
63,Random,-1,1
64,PHC,1,-1
65,Random,-1,1
66,Random,-1,1
67,draw,0,0
68,draw,0,0
69,Random,-1,1
70,Random,-1,1
71,Random,-1,1
72,Random,-1,1
73,Random,-1,1
74,PHC,1,-1
75,PHC,1,-1
76,Random,-1,1
77,Random,-1,1
78,PHC,1,-1
79,Random,-1,1
80,Random,-1,1
81,Random,-1,1
82,Random,-1,1
83,Random,-1,1
84,PHC,1,-1
85,PHC,1,-1
86,PHC,1,-1
87,PHC,1,-1
88,Random,-1,1
89,Random,-1,1
90,Random,-1,1
91,Random,-1,1
92,Random,-1,1
93,draw,0,0
94,PHC,1,-1
95,Random,-1,1
96,Random,-1,1
97,PHC,1,-1
98,PHC,1,-1
99,Random,-1,1
100,Random,-1,1
101,Random,-1,1
102,PHC,1,-1
103,PHC,1,-1
104,Random,-1,1
105,PHC,1,-1
106,PHC,1,-1
107,Random,-1,1
108,Random,-1,1
109,draw,0,0
110,PHC,1,-1
111,PHC,1,-1
112,PHC,1,-1
113,Random,-1,1
114,Random,-1,1
115,Random,-1,1
116,PHC,1,-1
117,PHC,1,-1
118,PHC,1,-1
119,PHC,1,-1
120,Random,-1,1
121,PHC,1,-1
122,Random,-1,1
123,PHC,1,-1
124,Random,-1,1
125,PHC,1,-1
126,Random,-1,1
127,PHC,1,-1
128,Random,-1,1
129,Random,-1,1
130,PHC,1,-1
131,PHC,1,-1
132,draw,0,0
133,PHC,1,-1
134,PHC,1,-1
135,PHC,1,-1
136,PHC,1,-1
137,draw,0,0
138,PHC,1,-1
139,PHC,1,-1
140,PHC,1,-1
141,Random,-1,1
142,Random,-1,1
143,Random,-1,1
144,Random,-1,1
145,PHC,1,-1
146,PHC,1,-1
147,PHC,1,-1
148,PHC,1,-1
149,Random,-1,1
150,draw,0,0
151,PHC,1,-1
152,Random,-1,1
153,draw,0,0
154,Random,-1,1
155,Random,-1,1
156,PHC,1,-1
157,PHC,1,-1
158,Random,-1,1
159,Random,-1,1
160,Random,-1,1
161,PHC,1,-1
162,Random,-1,1
163,PHC,1,-1
164,PHC,1,-1
165,PHC,1,-1
166,Random,-1,1
167,draw,0,0
168,Random,-1,1
169,PHC,1,-1
170,PHC,1,-1
171,PHC,1,-1
172,PHC,1,-1
173,PHC,1,-1
174,Random,-1,1
175,PHC,1,-1
176,Random,-1,1
177,PHC,1,-1
178,Random,-1,1
179,Random,-1,1
180,PHC,1,-1
181,PHC,1,-1
182,Random,-1,1
183,Random,-1,1
184,PHC,1,-1
185,PHC,1,-1
186,Random,-1,1
187,Random,-1,1
188,PHC,1,-1
189,PHC,1,-1
190,PHC,1,-1
191,PHC,1,-1
192,Random,-1,1
193,PHC,1,-1
194,PHC,1,-1
195,Random,-1,1
196,Random,-1,1
197,Random,-1,1
198,PHC,1,-1
199,Random,-1,1
200,Random,-1,1
201,PHC,1,-1
202,Random,-1,1
203,Random,-1,1
204,Random,-1,1
205,Random,-1,1
206,Random,-1,1
207,Random,-1,1
208,PHC,1,-1
209,PHC,1,-1
210,Random,-1,1
211,Random,-1,1
212,Random,-1,1
213,Random,-1,1
214,PHC,1,-1
215,Random,-1,1
216,PHC,1,-1
217,Random,-1,1
218,Random,-1,1
219,PHC,1,-1
220,PHC,1,-1
221,PHC,1,-1
222,PHC,1,-1
223,PHC,1,-1
224,Random,-1,1
225,PHC,1,-1
226,Random,-1,1
227,PHC,1,-1
228,Random,-1,1
229,Random,-1,1
230,Random,-1,1
231,Random,-1,1
232,draw,0,0
233,PHC,1,-1
234,Random,-1,1
235,Random,-1,1
236,Random,-1,1
237,PHC,1,-1
238,PHC,1,-1
239,draw,0,0
240,PHC,1,-1
241,Random,-1,1
242,PHC,1,-1
243,PHC,1,-1
244,Random,-1,1
245,Random,-1,1
246,Random,-1,1
247,PHC,1,-1
248,PHC,1,-1
249,Random,-1,1
250,Random,-1,1
251,Random,-1,1
252,PHC,1,-1
253,PHC,1,-1
254,Random,-1,1
255,PHC,1,-1
256,PHC,1,-1
257,Random,-1,1
258,PHC,1,-1
259,Random,-1,1
260,Random,-1,1
261,Random,-1,1
262,Random,-1,1
263,Random,-1,1
264,PHC,1,-1
265,PHC,1,-1
266,PHC,1,-1
267,PHC,1,-1
268,PHC,1,-1
269,Random,-1,1
270,Random,-1,1
271,Random,-1,1
272,PHC,1,-1
273,PHC,1,-1
274,PHC,1,-1
275,PHC,1,-1
276,Random,-1,1
277,Random,-1,1
278,PHC,1,-1
279,PHC,1,-1
280,Random,-1,1
281,PHC,1,-1
282,PHC,1,-1
283,PHC,1,-1
284,PHC,1,-1
285,Random,-1,1
286,PHC,1,-1
287,Random,-1,1
288,PHC,1,-1
289,PHC,1,-1
290,PHC,1,-1
291,Random,-1,1
292,PHC,1,-1
293,PHC,1,-1
294,PHC,1,-1
295,PHC,1,-1
296,Random,-1,1
297,Random,-1,1
298,Random,-1,1
299,PHC,1,-1
300,PHC,1,-1
301,Random,-1,1
302,draw,0,0
303,Random,-1,1
304,Random,-1,1
305,PHC,1,-1
306,PHC,1,-1
307,PHC,1,-1
308,draw,0,0
309,Random,-1,1
310,Random,-1,1
311,PHC,1,-1
312,draw,0,0
313,PHC,1,-1
314,PHC,1,-1
315,PHC,1,-1
316,PHC,1,-1
317,Random,-1,1
318,Random,-1,1
319,PHC,1,-1
320,PHC,1,-1
321,PHC,1,-1
322,PHC,1,-1
323,PHC,1,-1
324,Random,-1,1
325,PHC,1,-1
326,PHC,1,-1
327,Random,-1,1
328,Random,-1,1
329,Random,-1,1
330,PHC,1,-1
331,Random,-1,1
332,Random,-1,1
333,PHC,1,-1
334,Random,-1,1
335,PHC,1,-1
336,Random,-1,1
337,Random,-1,1
338,Random,-1,1
339,PHC,1,-1
340,PHC,1,-1
341,PHC,1,-1
342,PHC,1,-1
343,PHC,1,-1
344,PHC,1,-1
345,Random,-1,1
346,draw,0,0
347,Random,-1,1
348,Random,-1,1
349,Random,-1,1
350,PHC,1,-1
351,Random,-1,1
352,Random,-1,1
353,Random,-1,1
354,PHC,1,-1
355,PHC,1,-1
356,Random,-1,1
357,Random,-1,1
358,PHC,1,-1
359,PHC,1,-1
360,Random,-1,1
361,Random,-1,1
362,PHC,1,-1
363,Random,-1,1
364,PHC,1,-1
365,PHC,1,-1
366,PHC,1,-1
367,Random,-1,1
368,PHC,1,-1
369,PHC,1,-1
370,Random,-1,1
371,PHC,1,-1
372,PHC,1,-1
373,PHC,1,-1
374,draw,0,0
375,PHC,1,-1
376,PHC,1,-1
377,PHC,1,-1
378,Random,-1,1
379,Random,-1,1
380,PHC,1,-1
381,PHC,1,-1
382,Random,-1,1
383,Random,-1,1
384,Random,-1,1
385,PHC,1,-1
386,Random,-1,1
387,Random,-1,1
388,PHC,1,-1
389,Random,-1,1
390,PHC,1,-1
391,PHC,1,-1
392,PHC,1,-1
393,Random,-1,1
394,PHC,1,-1
395,Random,-1,1
396,Random,-1,1
397,Random,-1,1
398,PHC,1,-1
399,Random,-1,1
400,PHC,1,-1
401,PHC,1,-1
402,PHC,1,-1
403,Random,-1,1
404,PHC,1,-1
405,Random,-1,1
406,Random,-1,1
407,draw,0,0
408,Random,-1,1
409,Random,-1,1
410,PHC,1,-1
411,PHC,1,-1
412,Random,-1,1
413,PHC,1,-1
414,PHC,1,-1
415,Random,-1,1
416,PHC,1,-1
417,PHC,1,-1
418,PHC,1,-1
419,Random,-1,1
420,PHC,1,-1
421,PHC,1,-1
422,PHC,1,-1
423,Random,-1,1
424,PHC,1,-1
425,PHC,1,-1
426,Random,-1,1
427,PHC,1,-1
428,PHC,1,-1
429,PHC,1,-1
430,PHC,1,-1
431,Random,-1,1
432,Random,-1,1
433,PHC,1,-1
434,Random,-1,1
435,PHC,1,-1
436,Random,-1,1
437,PHC,1,-1
438,Random,-1,1
439,PHC,1,-1
440,PHC,1,-1
441,PHC,1,-1
442,Random,-1,1
443,Random,-1,1
444,draw,0,0
445,Random,-1,1
446,PHC,1,-1
447,Random,-1,1
448,PHC,1,-1
449,Random,-1,1
450,PHC,1,-1
451,PHC,1,-1
452,Random,-1,1
453,PHC,1,-1
454,Random,-1,1
455,Random,-1,1
456,Random,-1,1
457,PHC,1,-1
458,Random,-1,1
459,Random,-1,1
460,Random,-1,1
461,PHC,1,-1
462,PHC,1,-1
463,PHC,1,-1
464,PHC,1,-1
465,PHC,1,-1
466,PHC,1,-1
467,PHC,1,-1
468,Random,-1,1
469,Random,-1,1
470,Random,-1,1
471,Random,-1,1
472,PHC,1,-1
473,PHC,1,-1
474,PHC,1,-1
475,PHC,1,-1
476,PHC,1,-1
477,Random,-1,1
478,Random,-1,1
479,Random,-1,1
480,PHC,1,-1
481,PHC,1,-1
482,PHC,1,-1
483,PHC,1,-1
484,PHC,1,-1
485,Random,-1,1
486,PHC,1,-1
487,PHC,1,-1
488,PHC,1,-1
489,Random,-1,1
490,Random,-1,1
491,PHC,1,-1
492,Random,-1,1
493,Random,-1,1
494,PHC,1,-1
495,PHC,1,-1
496,Random,-1,1
497,PHC,1,-1
498,Random,-1,1
499,PHC,1,-1
500,PHC,1,-1
501,PHC,1,-1
502,Random,-1,1
503,PHC,1,-1
504,PHC,1,-1
505,PHC,1,-1
506,Random,-1,1
507,PHC,1,-1
508,PHC,1,-1
509,PHC,1,-1
510,Random,-1,1
511,PHC,1,-1
512,PHC,1,-1
513,PHC,1,-1
514,Random,-1,1
515,PHC,1,-1
516,PHC,1,-1
517,PHC,1,-1
518,PHC,1,-1
519,PHC,1,-1
520,PHC,1,-1
521,Random,-1,1
522,Random,-1,1
523,PHC,1,-1
524,PHC,1,-1
525,PHC,1,-1
526,PHC,1,-1
527,PHC,1,-1
528,PHC,1,-1
529,Random,-1,1
530,PHC,1,-1
531,Random,-1,1
532,PHC,1,-1
533,PHC,1,-1
534,Random,-1,1
535,PHC,1,-1
536,PHC,1,-1
537,draw,0,0
538,PHC,1,-1
539,PHC,1,-1
540,Random,-1,1
541,Random,-1,1
542,PHC,1,-1
543,Random,-1,1
544,Random,-1,1
545,Random,-1,1
546,PHC,1,-1
547,PHC,1,-1
548,PHC,1,-1
549,PHC,1,-1
550,PHC,1,-1
551,Random,-1,1
552,PHC,1,-1
553,PHC,1,-1
554,PHC,1,-1
555,PHC,1,-1
556,Random,-1,1
557,Random,-1,1
558,Random,-1,1
559,PHC,1,-1
560,PHC,1,-1
561,Random,-1,1
562,Random,-1,1
563,PHC,1,-1
564,Random,-1,1
565,Random,-1,1
566,PHC,1,-1
567,PHC,1,-1
568,PHC,1,-1
569,PHC,1,-1
570,PHC,1,-1
571,Random,-1,1
572,Random,-1,1
573,PHC,1,-1
574,PHC,1,-1
575,PHC,1,-1
576,PHC,1,-1
