episode,winner,PPO,PPO_2
1,PPO,1,-1
2,PPO_2,-1,1
3,PPO,1,-1
4,PPO,1,-1
5,PPO,1,-1
6,PPO,1,-1
7,PPO,1,-1
8,PPO,1,-1
9,PPO,1,-1
10,PPO,1,-1
11,PPO,1,-1
12,PPO,1,-1
13,PPO,1,-1
14,PPO,1,-1
15,PPO,1,-1
16,PPO,1,-1
17,PPO,1,-1
18,PPO,1,-1
19,PPO,1,-1
20,PPO,1,-1
21,PPO,1,-1
22,PPO_2,-1,1
23,PPO,1,-1
24,PPO,1,-1
25,PPO,1,-1
26,PPO,1,-1
27,PPO,1,-1
28,PPO,1,-1
29,PPO_2,-1,1
30,PPO,1,-1
31,PPO_2,-1,1
32,PPO,1,-1
33,PPO_2,-1,1
34,PPO,1,-1
35,PPO,1,-1
36,PPO_2,-1,1
37,PPO,1,-1
38,PPO,1,-1
39,PPO,1,-1
40,PPO_2,-1,1
41,PPO_2,-1,1
42,PPO,1,-1
43,PPO,1,-1
44,PPO,1,-1
45,PPO,1,-1
46,PPO_2,-1,1
47,PPO,1,-1
48,PPO,1,-1
49,PPO,1,-1
50,PPO_2,-1,1
51,PPO,1,-1
52,PPO,1,-1
53,PPO,1,-1
54,PPO_2,-1,1
55,PPO,1,-1
56,PPO,1,-1
57,PPO,1,-1
58,PPO_2,-1,1
59,PPO_2,-1,1
60,PPO,1,-1
61,PPO,1,-1
62,PPO_2,-1,1
63,PPO,1,-1
64,PPO,1,-1
65,PPO,1,-1
66,PPO,1,-1
67,PPO,1,-1
68,PPO,1,-1
69,PPO_2,-1,1
70,PPO_2,-1,1
71,PPO_2,-1,1
72,PPO_2,-1,1
73,PPO_2,-1,1
74,PPO,1,-1
75,PPO,1,-1
76,PPO,1,-1
77,PPO_2,-1,1
78,PPO,1,-1
79,PPO_2,-1,1
80,PPO,1,-1
81,PPO_2,-1,1
82,PPO,1,-1
83,PPO_2,-1,1
84,PPO_2,-1,1
85,PPO,1,-1
86,PPO_2,-1,1
87,PPO,1,-1
88,PPO_2,-1,1
