episode,winner,PPO,Random
1,Random,-1,1
2,draw,0,0
3,Random,-1,1
4,draw,0,0
5,PPO,1,-1
6,draw,0,0
7,Random,-1,1
8,PPO,1,-1
9,Random,-1,1
10,Random,-1,1
11,PPO,1,-1
12,PPO,1,-1
13,PPO,1,-1
14,PPO,1,-1
15,PPO,1,-1
16,PPO,1,-1
17,Random,-1,1
18,Random,-1,1
19,PPO,1,-1
20,Random,-1,1
21,PPO,1,-1
22,Random,-1,1
23,PPO,1,-1
24,Random,-1,1
25,Random,-1,1
26,Random,-1,1
27,PPO,1,-1
28,PPO,1,-1
29,draw,0,0
30,Random,-1,1
31,Random,-1,1
32,PPO,1,-1
33,PPO,1,-1
34,Random,-1,1
35,PPO,1,-1
36,PPO,1,-1
37,Random,-1,1
38,PPO,1,-1
39,PPO,1,-1
40,PPO,1,-1
41,PPO,1,-1
42,PPO,1,-1
43,PPO,1,-1
44,PPO,1,-1
45,PPO,1,-1
46,PPO,1,-1
47,PPO,1,-1
48,PPO,1,-1
49,PPO,1,-1
50,PPO,1,-1
51,PPO,1,-1
52,PPO,1,-1
53,Random,-1,1
54,PPO,1,-1
55,PPO,1,-1
56,PPO,1,-1
57,PPO,1,-1
58,PPO,1,-1
59,draw,0,0
60,PPO,1,-1
61,Random,-1,1
62,PPO,1,-1
63,Random,-1,1
64,PPO,1,-1
65,Random,-1,1
66,Random,-1,1
67,PPO,1,-1
68,PPO,1,-1
69,PPO,1,-1
70,Random,-1,1
71,PPO,1,-1
72,PPO,1,-1
73,Random,-1,1
74,PPO,1,-1
75,PPO,1,-1
76,PPO,1,-1
77,Random,-1,1
78,PPO,1,-1
79,PPO,1,-1
80,Random,-1,1
81,PPO,1,-1
82,Random,-1,1
83,PPO,1,-1
84,PPO,1,-1
85,PPO,1,-1
86,PPO,1,-1
87,PPO,1,-1
88,Random,-1,1
89,PPO,1,-1
90,PPO,1,-1
91,PPO,1,-1
92,Random,-1,1
93,PPO,1,-1
94,PPO,1,-1
95,PPO,1,-1
96,PPO,1,-1
97,Random,-1,1
98,Random,-1,1
99,Random,-1,1
100,Random,-1,1
101,PPO,1,-1
102,PPO,1,-1
103,PPO,1,-1
104,PPO,1,-1
105,Random,-1,1
106,PPO,1,-1
107,PPO,1,-1
108,PPO,1,-1
109,PPO,1,-1
110,Random,-1,1
111,PPO,1,-1
112,PPO,1,-1
113,PPO,1,-1
114,PPO,1,-1
115,PPO,1,-1
116,PPO,1,-1
117,PPO,1,-1
118,Random,-1,1
119,PPO,1,-1
120,PPO,1,-1
121,PPO,1,-1
122,Random,-1,1
123,Random,-1,1
124,PPO,1,-1
125,PPO,1,-1
126,PPO,1,-1
127,Random,-1,1
128,PPO,1,-1
129,PPO,1,-1
130,PPO,1,-1
131,PPO,1,-1
132,PPO,1,-1
133,PPO,1,-1
134,PPO,1,-1
135,Random,-1,1
136,PPO,1,-1
137,PPO,1,-1
138,Random,-1,1
139,PPO,1,-1
140,PPO,1,-1
141,PPO,1,-1
142,PPO,1,-1
143,PPO,1,-1
144,Random,-1,1
145,Random,-1,1
146,PPO,1,-1
147,PPO,1,-1
148,PPO,1,-1
149,PPO,1,-1
150,PPO,1,-1
151,PPO,1,-1
152,PPO,1,-1
153,PPO,1,-1
154,draw,0,0
155,Random,-1,1
156,PPO,1,-1
157,PPO,1,-1
158,Random,-1,1
159,Random,-1,1
160,PPO,1,-1
161,Random,-1,1
162,PPO,1,-1
163,PPO,1,-1
164,PPO,1,-1
165,Random,-1,1
166,Random,-1,1
167,PPO,1,-1
168,PPO,1,-1
169,PPO,1,-1
170,Random,-1,1
171,Random,-1,1
172,PPO,1,-1
173,Random,-1,1
174,PPO,1,-1
175,PPO,1,-1
176,Random,-1,1
177,Random,-1,1
178,PPO,1,-1
179,Random,-1,1
180,PPO,1,-1
181,PPO,1,-1
182,PPO,1,-1
183,PPO,1,-1
184,PPO,1,-1
185,Random,-1,1
186,PPO,1,-1
187,Random,-1,1
188,PPO,1,-1
189,Random,-1,1
190,PPO,1,-1
191,draw,0,0
192,PPO,1,-1
193,PPO,1,-1
194,PPO,1,-1
195,PPO,1,-1
196,PPO,1,-1
197,Random,-1,1
198,PPO,1,-1
199,PPO,1,-1
200,PPO,1,-1
201,Random,-1,1
202,PPO,1,-1
203,PPO,1,-1
204,PPO,1,-1
205,PPO,1,-1
206,Random,-1,1
207,PPO,1,-1
208,Random,-1,1
209,PPO,1,-1
210,Random,-1,1
211,PPO,1,-1
212,PPO,1,-1
213,Random,-1,1
214,PPO,1,-1
215,Random,-1,1
216,Random,-1,1
217,PPO,1,-1
218,PPO,1,-1
219,Random,-1,1
220,PPO,1,-1
221,PPO,1,-1
222,PPO,1,-1
223,PPO,1,-1
224,PPO,1,-1
225,Random,-1,1
226,PPO,1,-1
227,PPO,1,-1
228,PPO,1,-1
229,Random,-1,1
230,Random,-1,1
231,PPO,1,-1
232,PPO,1,-1
233,PPO,1,-1
234,PPO,1,-1
235,PPO,1,-1
236,Random,-1,1
237,Random,-1,1
238,PPO,1,-1
239,Random,-1,1
240,PPO,1,-1
241,Random,-1,1
242,PPO,1,-1
243,PPO,1,-1
244,PPO,1,-1
245,PPO,1,-1
246,PPO,1,-1
247,PPO,1,-1
248,draw,0,0
249,Random,-1,1
250,PPO,1,-1
251,PPO,1,-1
252,PPO,1,-1
253,PPO,1,-1
254,Random,-1,1
255,PPO,1,-1
256,Random,-1,1
257,PPO,1,-1
258,PPO,1,-1
259,Random,-1,1
260,PPO,1,-1
261,PPO,1,-1
262,PPO,1,-1
263,PPO,1,-1
264,PPO,1,-1
265,Random,-1,1
266,PPO,1,-1
267,Random,-1,1
268,PPO,1,-1
269,PPO,1,-1
270,Random,-1,1
271,PPO,1,-1
272,Random,-1,1
273,PPO,1,-1
274,PPO,1,-1
275,Random,-1,1
276,Random,-1,1
277,PPO,1,-1
278,PPO,1,-1
279,PPO,1,-1
280,PPO,1,-1
281,PPO,1,-1
282,Random,-1,1
283,Random,-1,1
284,PPO,1,-1
285,PPO,1,-1
286,PPO,1,-1
287,Random,-1,1
288,Random,-1,1
289,PPO,1,-1
290,PPO,1,-1
291,PPO,1,-1
292,PPO,1,-1
293,PPO,1,-1
294,Random,-1,1
295,PPO,1,-1
296,Random,-1,1
297,PPO,1,-1
298,PPO,1,-1
