episode,winner,DQN_A,DQN_B
1,draw,0,0
2,draw,0,0
3,DQN_A,1,-1
4,DQN_B,-1,1
5,DQN_A,1,-1
6,DQN_A,1,-1
7,DQN_A,1,-1
8,DQN_B,-1,1
9,DQN_B,-1,1
10,draw,0,0
11,draw,0,0
12,DQN_B,-1,1
13,DQN_B,-1,1
14,DQN_B,-1,1
15,DQN_A,1,-1
16,draw,0,0
17,DQN_A,1,-1
18,DQN_A,1,-1
19,DQN_A,1,-1
20,DQN_A,1,-1
21,DQN_B,-1,1
22,DQN_B,-1,1
23,DQN_A,1,-1
24,draw,0,0
25,draw,0,0
26,draw,0,0
27,DQN_B,-1,1
28,draw,0,0
29,draw,0,0
30,DQN_B,-1,1
31,draw,0,0
32,DQN_A,1,-1
33,DQN_A,1,-1
34,draw,0,0
35,draw,0,0
36,draw,0,0
37,draw,0,0
38,draw,0,0
39,draw,0,0
40,draw,0,0
41,draw,0,0
42,draw,0,0
43,draw,0,0
44,draw,0,0
45,draw,0,0
46,draw,0,0
47,draw,0,0
48,draw,0,0
49,draw,0,0
50,draw,0,0
51,draw,0,0
52,draw,0,0
53,draw,0,0
54,draw,0,0
55,draw,0,0
56,draw,0,0
57,draw,0,0
58,draw,0,0
59,draw,0,0
60,draw,0,0
61,draw,0,0
62,draw,0,0
63,draw,0,0
64,draw,0,0
65,draw,0,0
66,draw,0,0
67,DQN_B,-1,1
68,draw,0,0
69,draw,0,0
70,draw,0,0
71,draw,0,0
72,draw,0,0
73,draw,0,0
74,draw,0,0
75,draw,0,0
76,draw,0,0
77,draw,0,0
78,draw,0,0
79,draw,0,0
80,draw,0,0
81,draw,0,0
82,draw,0,0
83,draw,0,0
84,draw,0,0
85,draw,0,0
86,draw,0,0
87,draw,0,0
88,draw,0,0
89,draw,0,0
90,draw,0,0
91,draw,0,0
92,draw,0,0
93,draw,0,0
94,draw,0,0
95,draw,0,0
96,draw,0,0
97,draw,0,0
98,draw,0,0
99,draw,0,0
100,draw,0,0
101,draw,0,0
102,draw,0,0
103,draw,0,0
104,draw,0,0
105,draw,0,0
106,draw,0,0
107,draw,0,0
108,draw,0,0
109,draw,0,0
110,draw,0,0
111,draw,0,0
112,DQN_B,-1,1
113,draw,0,0
114,draw,0,0
115,draw,0,0
116,draw,0,0
117,draw,0,0
118,draw,0,0
119,draw,0,0
120,draw,0,0
121,draw,0,0
122,draw,0,0
123,DQN_A,1,-1
124,DQN_A,1,-1
125,draw,0,0
126,draw,0,0
127,draw,0,0
128,draw,0,0
129,draw,0,0
130,draw,0,0
131,draw,0,0
132,draw,0,0
133,draw,0,0
134,draw,0,0
135,draw,0,0
136,DQN_B,-1,1
137,draw,0,0
138,draw,0,0
139,draw,0,0
140,draw,0,0
141,DQN_A,1,-1
142,draw,0,0
143,draw,0,0
144,draw,0,0
145,draw,0,0
146,draw,0,0
147,draw,0,0
148,draw,0,0
149,DQN_A,1,-1
150,draw,0,0
151,draw,0,0
152,draw,0,0
153,draw,0,0
154,draw,0,0
155,draw,0,0
156,draw,0,0
157,draw,0,0
158,draw,0,0
159,DQN_B,-1,1
160,draw,0,0
161,draw,0,0
162,draw,0,0
163,draw,0,0
164,draw,0,0
165,DQN_A,1,-1
166,draw,0,0
167,draw,0,0
168,draw,0,0
169,draw,0,0
170,draw,0,0
171,draw,0,0
172,draw,0,0
173,draw,0,0
174,draw,0,0
175,draw,0,0
176,DQN_B,-1,1
177,draw,0,0
178,draw,0,0
179,draw,0,0
180,draw,0,0
181,draw,0,0
182,draw,0,0
183,draw,0,0
184,draw,0,0
185,draw,0,0
186,draw,0,0
187,draw,0,0
188,draw,0,0
189,draw,0,0
190,draw,0,0
191,draw,0,0
192,DQN_A,1,-1
193,draw,0,0
194,draw,0,0
195,draw,0,0
196,draw,0,0
197,draw,0,0
198,draw,0,0
199,draw,0,0
200,draw,0,0
201,DQN_B,-1,1
202,draw,0,0
203,draw,0,0
204,draw,0,0
205,draw,0,0
206,draw,0,0
207,DQN_A,1,-1
208,draw,0,0
209,draw,0,0
210,draw,0,0
211,draw,0,0
212,draw,0,0
213,draw,0,0
214,draw,0,0
215,draw,0,0
216,draw,0,0
217,draw,0,0
218,draw,0,0
219,DQN_A,1,-1
220,DQN_A,1,-1
221,draw,0,0
222,draw,0,0
223,draw,0,0
224,draw,0,0
225,draw,0,0
226,draw,0,0
227,draw,0,0
228,draw,0,0
229,draw,0,0
230,draw,0,0
231,DQN_A,1,-1
232,draw,0,0
233,draw,0,0
234,draw,0,0
235,draw,0,0
236,draw,0,0
237,draw,0,0
238,draw,0,0
239,draw,0,0
240,draw,0,0
241,draw,0,0
242,DQN_A,1,-1
243,draw,0,0
244,draw,0,0
245,draw,0,0
246,draw,0,0
247,draw,0,0
248,draw,0,0
249,draw,0,0
250,DQN_B,-1,1
251,DQN_A,1,-1
252,draw,0,0
253,draw,0,0
254,draw,0,0
255,draw,0,0
256,draw,0,0
257,draw,0,0
258,DQN_B,-1,1
259,draw,0,0
260,draw,0,0
261,draw,0,0
262,draw,0,0
263,draw,0,0
264,draw,0,0
265,draw,0,0
266,DQN_B,-1,1
267,draw,0,0
268,draw,0,0
269,DQN_A,1,-1
270,draw,0,0
271,draw,0,0
272,draw,0,0
273,draw,0,0
274,DQN_B,-1,1
275,draw,0,0
276,draw,0,0
277,draw,0,0
278,draw,0,0
279,draw,0,0
280,draw,0,0
281,draw,0,0
282,draw,0,0
283,draw,0,0
284,DQN_A,1,-1
285,draw,0,0
286,draw,0,0
287,draw,0,0
288,DQN_B,-1,1
289,DQN_A,1,-1
290,draw,0,0
291,draw,0,0
292,draw,0,0
293,draw,0,0
294,draw,0,0
295,draw,0,0
296,draw,0,0
297,draw,0,0
298,draw,0,0
299,draw,0,0
300,draw,0,0
301,DQN_B,-1,1
302,draw,0,0
303,draw,0,0
304,draw,0,0
305,draw,0,0
306,DQN_B,-1,1
307,draw,0,0
308,draw,0,0
309,draw,0,0
310,draw,0,0
311,draw,0,0
312,draw,0,0
313,DQN_A,1,-1
314,draw,0,0
315,draw,0,0
316,draw,0,0
317,draw,0,0
318,draw,0,0
319,draw,0,0
320,draw,0,0
321,DQN_B,-1,1
322,DQN_A,1,-1
323,draw,0,0
324,draw,0,0
325,draw,0,0
326,draw,0,0
327,draw,0,0
328,DQN_B,-1,1
329,DQN_B,-1,1
